StudyYear,MFCCToddler,MFCCPreschool,_75FCCInfant,_75FCCToddler,_75FCCPreschool
2008,97.93778717406624,96.00431994362228,116.36206483439041,109.69824524312897,108.01510923185342
2009,98.63265208110992,96.31274279615795,119.78605122732124,110.51199039487727,108.1608537886873
2010,98.93767311608961,96.76964867617107,119.5997199592668,111.71209266802444,109.0742566191446
2011,101.2787658710005,99.17245810055866,122.06298628745556,115.25151345860844,112.57614525139664
2012,103.50097536945813,101.07467487684728,125.11141379310345,117.79364039408867,114.84622660098522
2013,106.70410905550146,104.283417721519,129.87403602726388,121.12231256085687,118.12108568646543
2014,106.47304006968642,103.92314459930314,129.84459930313588,120.96949477351917,118.15266114982579
2015,109.73540210526315,106.53248,133.17617684210526,124.12559157894738,120.81384421052631
2016,109.8890350877193,107.4316590389016,132.50073607932876,124.38596109839817,121.54420289855074
2017,114.33736842105263,111.29944078947368,137.00613486842104,129.1125616776316,125.76481085526316
2018,118.51021720613288,115.35306218057922,142.1138373083475,133.99170783645658,130.50545144804087
